id,en_correct,zh_correct,en_char_len,zh_char_len,llama-3.1-8b_en_tokens,llama-3.1-8b_zh_tokens,llama-3.1-8b_ratio
gsm8k_test_000925,1,1,1445,500,360,339,0.9416666666666667
gsm8k_test_000927,1,1,1602,523,402,373,0.927860696517413
gsm8k_test_000930,1,1,1090,497,272,323,1.1875
gsm8k_test_000932,1,1,1491,472,365,297,0.8136986301369863
gsm8k_test_000935,1,1,2009,830,530,443,0.8358490566037736
gsm8k_test_000936,1,1,1976,780,552,457,0.8278985507246377
gsm8k_test_000937,1,1,1606,440,396,296,0.7474747474747475
gsm8k_test_000938,1,1,2275,510,566,295,0.5212014134275619
gsm8k_test_000939,1,1,1440,546,320,323,1.009375
gsm8k_test_000941,1,1,1518,455,359,290,0.807799442896936
gsm8k_test_000946,1,1,872,428,227,254,1.118942731277533
gsm8k_test_000947,1,1,1100,384,267,226,0.846441947565543
gsm8k_test_000948,1,1,1726,438,420,292,0.6952380952380952
gsm8k_test_000949,1,1,1070,477,318,234,0.7358490566037735
gsm8k_test_000954,1,1,1338,447,339,251,0.7404129793510325
gsm8k_test_000955,1,1,1729,472,454,289,0.6365638766519823
gsm8k_test_000957,1,1,827,441,242,228,0.9421487603305785
gsm8k_test_000959,1,1,1536,644,373,374,1.002680965147453
gsm8k_test_000961,1,1,1263,625,354,328,0.9265536723163842
gsm8k_test_000964,1,1,1144,374,271,211,0.7785977859778598
gsm8k_test_000966,1,1,2050,602,543,394,0.7255985267034991
gsm8k_test_000967,1,1,1056,452,322,269,0.8354037267080745
gsm8k_test_000968,1,1,1509,575,385,358,0.9298701298701298
gsm8k_test_000970,1,1,1026,364,262,231,0.8816793893129771
gsm8k_test_000971,1,1,926,333,246,207,0.8414634146341463
gsm8k_test_000972,1,1,1113,477,304,328,1.0789473684210527
gsm8k_test_000977,1,1,1147,521,299,362,1.2107023411371238
gsm8k_test_000980,1,1,1076,495,275,308,1.12
gsm8k_test_000981,1,1,1125,464,300,313,1.0433333333333332
gsm8k_test_000982,1,1,1307,601,338,373,1.1035502958579881
gsm8k_test_000983,1,1,748,561,204,308,1.5098039215686274
gsm8k_test_000985,1,1,955,385,259,249,0.9613899613899614
gsm8k_test_000986,1,1,1424,476,391,316,0.8081841432225064
gsm8k_test_000987,1,1,1609,488,418,343,0.8205741626794258
gsm8k_test_000988,1,1,1106,479,318,280,0.8805031446540881
gsm8k_test_000990,1,1,2095,498,467,332,0.7109207708779444
gsm8k_test_000994,1,1,1344,589,375,353,0.9413333333333334
gsm8k_test_000995,1,1,1101,432,269,262,0.9739776951672863
gsm8k_test_001000,1,1,1886,590,468,383,0.8183760683760684
gsm8k_test_001002,1,1,906,613,247,432,1.7489878542510122
gsm8k_test_001004,1,1,1619,657,418,457,1.0933014354066986
gsm8k_test_001007,1,1,1263,433,344,294,0.8546511627906976
gsm8k_test_001009,1,1,1457,697,396,428,1.0808080808080809
gsm8k_test_001010,1,1,977,562,285,291,1.0210526315789474
gsm8k_test_001013,1,1,1520,570,396,340,0.8585858585858586
gsm8k_test_001020,1,1,946,395,242,242,1.0
gsm8k_test_001023,1,1,1011,455,257,301,1.171206225680934
gsm8k_test_001026,1,1,1335,509,378,355,0.9391534391534392
gsm8k_test_001027,1,1,1500,615,369,406,1.100271002710027
gsm8k_test_001032,1,1,1263,469,330,328,0.9939393939393939
gsm8k_test_001034,1,1,1325,416,338,251,0.742603550295858
gsm8k_test_001035,1,1,1528,535,363,339,0.9338842975206612
gsm8k_test_001036,1,1,1082,438,265,246,0.9283018867924528
gsm8k_test_001037,1,1,1321,482,354,323,0.9124293785310734
gsm8k_test_001040,1,1,1366,555,350,339,0.9685714285714285
gsm8k_test_001044,1,1,1111,597,282,343,1.2163120567375887
gsm8k_test_001049,1,1,1393,405,351,254,0.7236467236467237
gsm8k_test_001051,1,1,939,448,250,275,1.1
gsm8k_test_001053,1,1,1207,553,335,352,1.0507462686567164
gsm8k_test_001056,1,1,1811,470,475,308,0.6484210526315789
gsm8k_test_001058,1,1,1325,429,304,263,0.8651315789473685
gsm8k_test_001059,1,1,929,432,243,269,1.1069958847736625
gsm8k_test_001060,1,1,1185,452,340,252,0.7411764705882353
gsm8k_test_001063,1,1,1225,428,325,250,0.7692307692307693
gsm8k_test_001065,1,1,955,377,274,212,0.7737226277372263
gsm8k_test_001066,1,1,1413,485,381,333,0.8740157480314961
gsm8k_test_001074,1,1,948,363,222,197,0.8873873873873874
gsm8k_test_001076,1,1,1599,469,424,287,0.6768867924528302
gsm8k_test_001077,1,1,2518,835,582,564,0.9690721649484536
gsm8k_test_001079,1,1,1580,736,408,483,1.1838235294117647
gsm8k_test_001080,1,1,1418,449,378,269,0.7116402116402116
gsm8k_test_001086,1,1,1899,608,565,336,0.5946902654867257
gsm8k_test_001099,1,1,1135,493,286,317,1.1083916083916083
gsm8k_test_001100,1,1,1113,505,304,301,0.9901315789473685
gsm8k_test_001101,1,1,1007,453,287,254,0.8850174216027874
gsm8k_test_001102,1,1,1442,633,439,390,0.8883826879271071
gsm8k_test_001104,1,1,780,399,224,188,0.8392857142857143
gsm8k_test_001105,1,1,2177,584,529,343,0.6483931947069943
gsm8k_test_001107,1,1,848,459,240,263,1.0958333333333334
gsm8k_test_001108,1,1,896,437,234,276,1.1794871794871795
gsm8k_test_001109,1,1,1346,527,347,355,1.0230547550432276
gsm8k_test_001111,1,1,1269,462,344,291,0.8459302325581395
gsm8k_test_001113,1,1,920,331,221,215,0.9728506787330317
gsm8k_test_001118,1,1,1401,585,383,451,1.1775456919060052
gsm8k_test_001119,1,1,1216,577,337,341,1.0118694362017804
gsm8k_test_001121,1,1,1035,391,282,215,0.7624113475177305
gsm8k_test_001123,1,1,1279,442,361,245,0.6786703601108033
gsm8k_test_001125,1,1,1177,402,334,252,0.7544910179640718
gsm8k_test_001126,1,1,1095,435,290,249,0.8586206896551725
gsm8k_test_001127,1,1,990,432,267,265,0.9925093632958801
gsm8k_test_001128,1,1,1025,442,298,253,0.8489932885906041
gsm8k_test_001130,1,1,1839,569,487,405,0.8316221765913757
gsm8k_test_001131,1,1,1257,528,373,348,0.9329758713136729
gsm8k_test_001133,1,1,1918,663,516,434,0.8410852713178295
gsm8k_test_001134,1,1,1117,400,288,244,0.8472222222222222
gsm8k_test_001135,1,1,988,404,268,271,1.0111940298507462
gsm8k_test_001136,1,1,1199,432,337,264,0.7833827893175074
gsm8k_test_001138,1,1,1503,569,380,329,0.8657894736842106
gsm8k_test_001139,1,1,1224,526,359,326,0.9080779944289693
gsm8k_test_001141,1,1,1146,461,316,254,0.8037974683544303
gsm8k_test_001143,1,1,806,344,218,227,1.0412844036697249
gsm8k_test_001144,1,1,1239,402,342,249,0.7280701754385965
gsm8k_test_001145,1,1,2080,549,575,342,0.5947826086956521
gsm8k_test_001148,1,1,1052,390,260,229,0.8807692307692307
gsm8k_test_001149,1,1,834,373,231,218,0.9437229437229437
gsm8k_test_001150,1,1,750,377,208,237,1.1394230769230769
gsm8k_test_001152,1,1,1089,491,261,308,1.1800766283524904
gsm8k_test_001153,1,1,1602,574,424,311,0.7334905660377359
gsm8k_test_001155,1,1,1069,415,281,258,0.9181494661921709
gsm8k_test_001156,1,1,1319,519,336,310,0.9226190476190477
gsm8k_test_001157,1,1,860,588,241,332,1.3775933609958506
gsm8k_test_001158,1,1,1450,567,363,348,0.9586776859504132
gsm8k_test_001162,1,1,777,330,233,195,0.8369098712446352
gsm8k_test_001163,1,1,1007,402,272,274,1.0073529411764706
gsm8k_test_001165,1,1,1622,595,407,394,0.9680589680589681
gsm8k_test_001169,1,1,3971,685,1237,464,0.37510105092966856
gsm8k_test_001170,1,1,1606,532,441,366,0.8299319727891157
gsm8k_test_001171,1,1,1632,582,429,384,0.8951048951048951
gsm8k_test_001173,1,1,1271,548,364,368,1.010989010989011
gsm8k_test_001175,1,1,1989,797,527,600,1.1385199240986716
gsm8k_test_001177,1,1,851,415,239,268,1.1213389121338913
gsm8k_test_001180,1,1,1479,538,401,358,0.8927680798004988
gsm8k_test_001185,1,1,1798,513,462,393,0.8506493506493507
gsm8k_test_001186,1,1,844,394,228,243,1.0657894736842106
gsm8k_test_001191,1,1,1105,402,295,248,0.8406779661016949
gsm8k_test_001194,1,1,1145,397,292,272,0.9315068493150684
gsm8k_test_001195,1,1,1592,619,395,387,0.979746835443038
gsm8k_test_001196,1,1,1113,432,297,268,0.9023569023569024
gsm8k_test_001197,1,1,1295,552,362,378,1.0441988950276244
gsm8k_test_001200,1,1,925,375,263,249,0.9467680608365019
gsm8k_test_001201,1,1,1736,496,445,340,0.7640449438202247
gsm8k_test_001202,1,1,1841,501,477,338,0.7085953878406709
gsm8k_test_001203,1,1,1426,495,366,307,0.8387978142076503
gsm8k_test_001205,1,1,1583,530,401,339,0.8453865336658354
gsm8k_test_001210,1,1,1028,450,243,268,1.102880658436214
gsm8k_test_001211,1,1,1066,396,270,231,0.8555555555555555
gsm8k_test_001212,1,1,1747,493,447,286,0.639821029082774
gsm8k_test_001214,1,1,1133,412,278,232,0.8345323741007195
gsm8k_test_001219,1,1,1166,430,303,238,0.7854785478547854
gsm8k_test_001222,1,1,925,373,232,232,1.0
gsm8k_test_001226,1,1,1194,584,339,346,1.0206489675516224
gsm8k_test_001228,1,1,884,426,243,207,0.8518518518518519
gsm8k_test_001230,1,1,1533,569,386,324,0.8393782383419689
gsm8k_test_001232,1,1,1544,397,472,236,0.5
gsm8k_test_001233,1,1,1637,493,460,297,0.6456521739130435
gsm8k_test_001234,1,1,989,448,269,268,0.9962825278810409
gsm8k_test_001238,1,1,1388,618,400,422,1.055
gsm8k_test_001242,1,1,1080,431,294,266,0.9047619047619048
gsm8k_test_001244,1,1,1426,557,369,334,0.9051490514905149
gsm8k_test_001245,1,1,970,546,285,363,1.2736842105263158
gsm8k_test_001247,1,1,1064,458,298,300,1.0067114093959733
gsm8k_test_001248,1,1,1377,598,322,370,1.1490683229813665
gsm8k_test_001252,1,1,1122,446,289,290,1.0034602076124568
gsm8k_test_001253,1,1,1284,517,333,299,0.8978978978978979
gsm8k_test_001254,1,1,1298,534,327,372,1.1376146788990826
gsm8k_test_001255,1,1,1826,605,504,401,0.7956349206349206
gsm8k_test_001256,1,1,1435,538,370,342,0.9243243243243243
gsm8k_test_001260,1,1,1310,453,315,266,0.8444444444444444
gsm8k_test_001261,1,1,1050,544,319,361,1.1316614420062696
gsm8k_test_001262,1,1,1225,485,322,287,0.8913043478260869
gsm8k_test_001263,1,1,1704,649,444,415,0.9346846846846847
gsm8k_test_001268,1,1,1102,480,277,309,1.1155234657039712
gsm8k_test_001271,1,1,1533,476,377,307,0.8143236074270557
gsm8k_test_001272,1,1,1352,482,363,285,0.7851239669421488
gsm8k_test_001273,1,1,1283,481,362,267,0.7375690607734806
gsm8k_test_001275,1,1,1031,469,308,309,1.0032467532467533
gsm8k_test_001277,1,1,883,404,261,224,0.8582375478927203
gsm8k_test_001278,1,1,1071,447,287,268,0.9337979094076655
gsm8k_test_001279,1,1,1293,542,373,352,0.9436997319034852
gsm8k_test_001280,1,1,913,459,238,262,1.1008403361344539
gsm8k_test_001281,1,1,1096,472,295,313,1.0610169491525423
gsm8k_test_001285,1,1,1405,472,384,291,0.7578125
gsm8k_test_001287,1,1,1361,509,375,312,0.832
gsm8k_test_001290,1,1,1023,403,279,272,0.974910394265233
gsm8k_test_001291,1,1,828,412,212,190,0.8962264150943396
gsm8k_test_001294,1,1,1308,553,375,341,0.9093333333333333
gsm8k_test_001297,1,1,1326,581,378,413,1.0925925925925926
gsm8k_test_001298,1,1,1630,562,471,324,0.6878980891719745
gsm8k_test_001302,1,1,1270,563,318,327,1.028301886792453
gsm8k_test_001304,1,1,1602,647,376,347,0.9228723404255319
gsm8k_test_001305,1,1,1066,507,267,345,1.2921348314606742
gsm8k_test_001308,1,1,977,397,252,248,0.9841269841269841
gsm8k_test_001311,1,1,1101,398,279,251,0.899641577060932
gsm8k_test_001313,1,1,1361,1086,364,733,2.0137362637362637
gsm8k_test_001315,1,1,1146,590,299,373,1.2474916387959867
gsm8k_test_001316,1,1,1245,534,337,318,0.9436201780415431
gsm8k_test_001318,1,1,1012,399,251,245,0.9760956175298805
